employee_id,date,first_name,last_name,gender,dob,headcount_flag,leavers_flag,termination_date,joiners_flag,voluntary_leavers_flag,involuntary_leavers_flag,department,work_location_country,work_location_city,seniority_level,performance_rating,behaviour_rating,ethnicity
82-5908491,4/2/2022,Junina,Allbrook,Female,4/14/1977,1,0,,1,0,0,Training,Mexico,Cuauhtemoc,4,Unacceptable,Unacceptable,Indian
92-4641793,6/29/2021,Stephi,Thomtson,Female,9/25/1988,1,0,,1,0,0,Research and Development,France,Melun,10,Needs Improvement,Outstanding,Pakistani
76-5187620,11/19/2021,Charlean,Teaser,Female,4/10/1993,1,0,,0,0,0,Legal,China,Lang,4,Exceeds Expectations,Exceeds Expectations,Bangladeshi
16-3460992,10/23/2021,Jeffie,Beacom,Male,7/17/1951,1,0,,0,0,0,Business Development,China,Ningxin,4,Needs Improvement,Exceeds Expectations,Chinese
90-7179171,1/29/2022,Lind,Whetton,Female,6/5/1999,1,0,,1,0,0,Engineering,China,Shang Boingor,3,Exceeds Expectations,Meets Expectations,African
09-7280322,7/13/2021,Lyle,Luberti,Male,10/31/1992,1,0,,1,0,0,Human Resources,Portugal,São Martinho do Campo,2,Outstanding,Exceeds Expectations,Caribbean
84-9189291,8/22/2022,Augustine,McIlraith,Agender,5/23/1980,1,0,,0,0,0,Human Resources,Portugal,Cabriz,4,Unacceptable,Needs Improvement,White
80-5025498,10/21/2019,Dougie,Helliwell,Male,9/24/1984,1,0,,1,0,0,Research and Development,China,Yanglinshi,10,Needs Improvement,Meets Expectations,Arab
41-8468150,4/10/2020,Elora,Kirke,Female,8/10/1958,1,0,,1,0,0,Support,Bosnia and Herzegovina,Zborište,4,Needs Improvement,Exceeds Expectations,Irish
65-0108571,4/30/2019,Bourke,Pinard,Male,2/15/1985,1,0,,0,0,0,Human Resources,Philippines,Loreto,8,Exceeds Expectations,Needs Improvement,African
39-3441021,9/18/2020,Catha,Mote,Male,3/3/2003,1,0,,1,0,0,Engineering,Greece,Néa Péramos,3,Meets Expectations,Exceeds Expectations,Arab
71-3036950,8/26/2022,Luella,Gillimgham,Female,3/7/1988,1,1,12/3/2021,1,1,0,Legal,China,Caihua,8,Exceeds Expectations,Meets Expectations,Indian
06-8288003,5/18/2022,Clemente,Frossell,Male,12/23/1992,1,0,,0,0,0,Sales,China,Fazhan,4,Unacceptable,Outstanding,Bangladeshi
24-6008111,5/25/2021,Nolana,Pieche,Female,3/4/1956,1,0,,0,0,0,Marketing,Russia,Shalakusha,6,Needs Improvement,Unacceptable,African
49-8862832,7/22/2019,Jaclyn,Shepeard,Male,6/24/1996,1,0,,1,0,0,Engineering,Canada,Digby,10,Needs Improvement,Outstanding,White
18-1388919,3/26/2020,Bobinette,Emanulsson,Female,11/9/1994,1,0,,1,0,0,Human Resources,China,Xiaoduchuan,6,Needs Improvement,Meets Expectations,White 
68-8636036,9/3/2020,Wyn,Jewson,Agender,12/7/1957,1,0,,0,0,0,Business Development,Malaysia,Ipoh,4,Needs Improvement,Unacceptable,White
94-3879764,10/17/2020,Rois,Nibley,Male,10/5/1962,1,0,,0,0,0,Engineering,South Korea,Muan,3,Exceeds Expectations,Needs Improvement,Chinese
01-5435805,11/7/2019,Anabelle,Sprey,Female,9/15/1999,1,0,,0,0,0,Support,Greece,Neochórion,8,Meets Expectations,Outstanding,Pakistani
84-2352762,12/6/2021,Giselle,Vispo,Female,11/5/1953,1,0,,1,0,0,Support,Brazil,Piritiba,2,Exceeds Expectations,Needs Improvement,White
97-5354310,7/11/2021,Jay,Cayton,Male,1/27/1982,1,1,1/9/2019,0,0,1,Sales,China,Huogezhuang,10,Needs Improvement,Meets Expectations,Indian
17-0596326,2/1/2022,Norris,Keward,Male,8/28/1963,1,0,,0,0,0,Accounting,Czech Republic,Pardubice,4,Unacceptable,Outstanding,Pakistani
15-5460567,7/4/2021,Jephthah,Lorraway,Male,2/13/1962,1,0,,1,0,0,Research and Development,Indonesia,Oitui,8,Needs Improvement,Unacceptable,Bangladeshi
14-2766067,11/18/2021,Kahlil,Gagin,Male,10/1/1951,1,0,,1,0,0,Product Management,Vietnam,Quận Bốn,10,Exceeds Expectations,Meets Expectations,Chinese
73-3977835,3/16/2020,Kilian,Halgarth,Male,5/8/2003,1,0,,0,0,0,Research and Development,Kazakhstan,Sarykemer,5,Outstanding,Unacceptable,African
75-1433885,6/1/2022,Liz,Skoof,Female,12/29/2002,1,1,3/4/2021,0,1,0,Human Resources,Philippines,Batobato,4,Needs Improvement,Unacceptable,Caribbean
62-0844922,5/30/2022,Valerie,Stable,Female,6/22/1962,1,0,,1,0,0,Services,New Zealand,Patea,5,Meets Expectations,Meets Expectations,White
79-3221507,2/9/2021,Conney,Cattell,Male,3/12/1974,1,0,,0,0,0,Services,Portugal,Vessada,9,Meets Expectations,Outstanding,Arab
17-9143164,8/5/2019,Joaquin,Ivshin,Male,7/30/1952,1,0,,1,0,0,Product Management,Czech Republic,Dolní Bojanovice,10,Needs Improvement,Unacceptable,Irish
47-2922167,3/18/2021,Etan,Wrinch,Male,8/9/1974,1,0,,1,0,0,Services,South Africa,Mankoeng,1,Outstanding,Meets Expectations,African
84-6637763,9/25/2022,Danielle,Blues,Female,10/22/1982,1,1,2/6/2019,1,0,1,Accounting,United States,Boston,3,Exceeds Expectations,Outstanding,Arab
43-3289162,7/6/2019,Barry,Bradwell,Female,10/13/1975,1,0,,1,0,0,Training,Sri Lanka,Hendala,2,Needs Improvement,Exceeds Expectations,Indian
52-5201011,11/13/2021,Karol,Mabone,Female,8/23/1977,1,0,,1,0,0,Human Resources,Paraguay,Altos,7,Needs Improvement,Meets Expectations,Bangladeshi
41-0341626,8/10/2019,Darcie,Sex,Female,10/20/1976,1,0,,0,0,0,Human Resources,Philippines,Bakung,1,Meets Expectations,Exceeds Expectations,African
56-4549045,4/15/2019,Jobyna,Bundy,Female,11/8/1957,1,0,,0,0,0,Accounting,Bahrain,Sitrah,3,Outstanding,Needs Improvement,White
02-1022335,3/30/2021,Georgi,Cordell,Male,9/14/1999,1,0,,0,0,0,Accounting,Ukraine,Ovidiopol’,9,Exceeds Expectations,Meets Expectations,White 
84-4363932,10/21/2021,Gib,Brabban,Male,7/11/1988,1,0,,0,0,0,Marketing,Sweden,Spånga,10,Meets Expectations,Meets Expectations,White
32-2439918,7/13/2022,Michale,D'Arrigo,Male,4/10/1965,1,0,,0,0,0,Human Resources,Sri Lanka,Valvedditturai,10,Meets Expectations,Outstanding,Chinese
65-1821198,8/24/2022,Vanda,Minard,Non-binary,9/6/1967,1,0,,1,0,0,Support,Indonesia,Lengkongjaya,10,Exceeds Expectations,Outstanding,Pakistani
74-9315543,7/2/2019,Glory,De Andreis,Female,5/30/1983,1,0,,0,0,0,Accounting,Russia,Krasnokumskoye,4,Meets Expectations,Outstanding,White
33-3921317,11/20/2019,Celina,Cuddon,Male,8/20/1969,1,0,,1,0,0,Engineering,Ethiopia,Gorē,2,Outstanding,Exceeds Expectations,Indian
19-7337248,4/25/2019,Robby,Dulin,Male,4/15/1986,1,0,,1,0,0,Engineering,Indonesia,Senggreng,9,Unacceptable,Exceeds Expectations,Pakistani
56-5270086,9/15/2022,Amara,Tucknott,Male,1/26/1983,1,0,,0,0,0,Accounting,Indonesia,Pangawaren,4,Meets Expectations,Needs Improvement,Bangladeshi
17-2433870,9/5/2021,Millicent,Brudenell,Female,11/1/1968,1,0,,1,0,0,Training,Uganda,Katakwi,8,Unacceptable,Outstanding,Chinese
47-3054632,3/12/2021,Townie,Wainwright,Male,7/18/1974,1,0,,1,0,0,Business Development,Czech Republic,Příbor,7,Needs Improvement,Meets Expectations,African
10-0531955,5/30/2019,Harlene,Maryman,Female,5/20/1977,1,0,,1,0,0,Legal,Brazil,Montenegro,9,Meets Expectations,Outstanding,Caribbean
81-7819047,9/2/2022,Benni,Zeale,Female,5/21/1963,1,0,,1,0,0,Human Resources,Philippines,Sigay,3,Needs Improvement,Exceeds Expectations,White
13-5503851,6/29/2019,Trixy,Elder,Female,3/28/1996,1,0,,0,0,0,Engineering,Croatia,Kuče,2,Unacceptable,Needs Improvement,Arab
68-0295842,7/2/2019,Chanda,Linham,Female,3/24/1993,1,1,2/4/2021,1,0,1,Services,China,Guangshun,6,Unacceptable,Meets Expectations,Irish
28-1308849,3/11/2019,Blaine,Josipovitz,Polygender,5/5/1981,1,0,,1,0,0,Sales,Ireland,Aughrim,8,Exceeds Expectations,Outstanding,African
33-0404931,6/19/2022,Glad,Sebyer,Female,7/28/1971,1,0,,0,0,0,Sales,Ukraine,Rodatychi,7,Unacceptable,Outstanding,Arab
45-1310828,5/14/2022,Cathlene,Station,Genderqueer,8/16/1957,1,0,,0,0,0,Training,Armenia,Abovyan,1,Unacceptable,Meets Expectations,Indian
16-5304471,6/19/2022,Ellery,Callum,Male,2/17/1984,1,0,,1,0,0,Research and Development,Tanzania,Mabamba,8,Needs Improvement,Needs Improvement,Bangladeshi
21-7615686,5/28/2020,Eddie,Trayhorn,Male,6/22/1991,1,0,,1,0,0,Engineering,Philippines,Banaybanay,9,Outstanding,Unacceptable,African
60-6004606,8/29/2021,Barnabas,Southouse,Male,6/5/1976,1,0,,1,0,0,Product Management,Indonesia,Kebonagung,7,Meets Expectations,Needs Improvement,White
13-0500504,2/27/2021,Kerr,Laflin,Male,3/14/1955,1,0,,0,0,0,Support,Russia,Yashalta,8,Needs Improvement,Outstanding,White 
13-5052045,6/20/2020,Kathie,Guiot,Female,9/16/2000,1,0,,0,0,0,Product Management,Paraguay,Atyrá,8,Outstanding,Meets Expectations,White
12-7081829,1/20/2019,Lamar,Roth,Male,2/11/1955,1,0,,0,0,0,Engineering,China,Xiashitai,3,Outstanding,Needs Improvement,Chinese
97-3458461,3/4/2022,Obidiah,Flemyng,Male,8/17/1971,1,1,4/8/2022,0,0,1,Training,Portugal,Montijo,6,Unacceptable,Needs Improvement,Pakistani
26-3094634,1/28/2020,Osmond,Meineck,Male,9/30/1967,1,0,,1,0,0,Accounting,Philippines,Balogo,8,Unacceptable,Exceeds Expectations,White
55-6116754,9/22/2021,Jerrold,Yitzhak,Genderqueer,12/29/1971,1,0,,1,0,0,Sales,Indonesia,Tambakmerak,8,Needs Improvement,Outstanding,Indian
03-6964458,5/24/2022,Kip,Wybourne,Male,12/15/1992,1,0,,1,0,0,Engineering,Philippines,Bilaran,6,Unacceptable,Exceeds Expectations,Pakistani
58-1270738,5/13/2020,Axel,Scogin,Male,12/6/1985,1,1,11/19/2019,1,0,1,Sales,Albania,Shezë,6,Meets Expectations,Outstanding,Bangladeshi
40-7578712,2/21/2019,Dionisio,Tutchener,Male,6/20/1971,1,0,,1,0,0,Legal,Russia,Ukhta,10,Exceeds Expectations,Meets Expectations,Chinese
03-8829431,1/23/2019,Barthel,Janowicz,Male,3/3/1979,1,0,,0,0,0,Product Management,Sweden,Göteborg,8,Outstanding,Needs Improvement,African
56-2067747,11/29/2019,Herve,Von Der Empten,Male,10/22/1957,1,0,,1,0,0,Services,Philippines,Santa Ignacia,3,Needs Improvement,Unacceptable,Caribbean
75-5537581,9/23/2022,Irina,Trahmel,Male,6/24/1984,1,0,,1,0,0,Engineering,Indonesia,Pacarkeling,10,Exceeds Expectations,Unacceptable,White
20-1582850,4/8/2020,Ileana,Dammarell,Female,7/26/1973,1,1,2/27/2021,1,0,1,Accounting,Greece,Xylaganí,7,Unacceptable,Needs Improvement,Arab
01-3618627,12/16/2021,Hayley,Prentice,Female,4/19/1979,1,0,,1,0,0,Marketing,Kenya,Kilifi,10,Exceeds Expectations,Unacceptable,Irish
51-1606278,4/22/2019,Papageno,Greenhall,Male,2/3/1965,1,0,,0,0,0,Human Resources,Russia,Pervoavgustovskiy,2,Exceeds Expectations,Exceeds Expectations,African
15-9340871,4/22/2019,Quintus,Joselin,Male,11/10/1979,1,1,2/16/2019,1,0,1,Engineering,Bulgaria,Kavarna,1,Unacceptable,Needs Improvement,Arab
33-0632071,10/2/2019,Mohammed,Lesslie,Male,3/1/1950,1,0,,0,0,0,Marketing,Russia,Nizhniy Chir,1,Exceeds Expectations,Unacceptable,Indian
25-1178890,1/31/2020,Alexandre,Novotni,Male,1/22/1970,1,0,,1,0,0,Training,Indonesia,Seririt,7,Meets Expectations,Exceeds Expectations,Bangladeshi
80-8823727,11/19/2021,Sidney,Sikora,Male,6/28/1960,1,0,,0,0,0,Product Management,Colombia,Líbano,10,Meets Expectations,Unacceptable,African
14-5975618,1/23/2022,Cary,MacGahy,Male,12/25/1960,1,0,,1,0,0,Training,Indonesia,Bangunsari,9,Outstanding,Outstanding,White
05-1248270,3/28/2020,Velma,Postan,Female,12/10/1992,1,0,,1,0,0,Training,Poland,Boleszkowice,5,Needs Improvement,Meets Expectations,White 
41-9709784,10/11/2021,Winston,Kingsman,Male,1/7/1968,1,1,1/26/2020,0,1,0,Accounting,China,Caijiang,3,Meets Expectations,Outstanding,White
02-9864829,7/24/2021,Tiena,Capelle,Female,6/6/1993,1,1,7/4/2022,0,1,0,Support,China,Dafang,5,Needs Improvement,Needs Improvement,Chinese
64-7030760,1/17/2020,Brendon,Temprell,Male,9/28/2003,1,0,,0,0,0,Sales,Indonesia,Sonlit,10,Meets Expectations,Unacceptable,Pakistani
07-8787696,7/5/2022,Brenna,Meadway,Genderqueer,6/18/1995,1,0,,0,0,0,Product Management,Russia,Mezinovskiy,2,Meets Expectations,Exceeds Expectations,White
23-3380456,2/3/2019,Emera,Fache,Female,4/16/1995,1,0,,0,0,0,Legal,China,Yedun,5,Outstanding,Needs Improvement,Indian
06-9024503,12/5/2021,Osbourne,Bunney,Male,4/5/1986,1,0,,0,0,0,Human Resources,Colombia,Aldana,8,Unacceptable,Outstanding,Pakistani
60-7565843,4/24/2021,Bobby,Extence,Male,8/25/1989,1,0,,0,0,0,Support,Brazil,Belo Horizonte,8,Needs Improvement,Unacceptable,Bangladeshi
88-3491172,9/17/2019,Georgie,Adey,Male,1/17/1998,1,0,,0,0,0,Accounting,Indonesia,Lantera,2,Needs Improvement,Needs Improvement,Chinese
69-3932901,9/17/2019,Peyton,Weatherhogg,Male,4/13/1982,1,0,,1,0,0,Product Management,China,Shima,10,Unacceptable,Outstanding,African
07-4053412,4/22/2022,Phillip,Faas,Male,4/2/1995,1,0,,0,0,0,Training,Lithuania,Grigiškės,5,Needs Improvement,Outstanding,Caribbean
68-4867690,11/3/2020,Jermaine,Whitesel,Male,9/6/1987,1,0,,1,0,0,Support,Russia,Orda,3,Meets Expectations,Meets Expectations,White
87-8984077,7/30/2019,Marlo,Cotty,Male,6/5/1983,1,0,,0,0,0,Support,Czech Republic,Mnichovo Hradiště,7,Needs Improvement,Outstanding,Arab
41-5755194,9/21/2019,Rog,Aberchirder,Male,3/15/1993,1,0,,1,0,0,Business Development,Poland,Frydek,6,Needs Improvement,Meets Expectations,Irish
22-9616729,10/14/2021,Nissy,Skellen,Male,5/11/1992,1,0,,1,0,0,Engineering,Philippines,Manticao,10,Meets Expectations,Outstanding,African
25-7493607,9/2/2020,Abbye,Lehrmann,Female,5/16/1989,1,0,,1,0,0,Marketing,Slovenia,Lendava,7,Exceeds Expectations,Exceeds Expectations,Arab
68-4894979,3/15/2020,Aurilia,Esbrook,Genderqueer,10/19/1959,1,0,,1,0,0,Accounting,Sweden,Svenljunga,1,Outstanding,Meets Expectations,Indian
86-1992976,2/7/2022,Tyler,Fyfe,Male,10/9/1971,1,0,,0,0,0,Engineering,Indonesia,Tempurejo,2,Meets Expectations,Needs Improvement,Bangladeshi
48-3229030,12/19/2021,Esme,Balmadier,Female,5/3/1952,1,0,,0,0,0,Marketing,Russia,Pevek,9,Needs Improvement,Outstanding,African
51-6088101,8/4/2021,Rourke,Cosgrive,Male,6/15/1993,1,1,6/27/2021,1,0,1,Human Resources,Russia,Bogoroditsk,6,Exceeds Expectations,Exceeds Expectations,White
14-7315884,3/7/2019,Pearline,Ruddy,Female,3/16/1987,1,0,,1,0,0,Marketing,Indonesia,Lela,5,Exceeds Expectations,Needs Improvement,White 
51-9126749,12/22/2019,Laney,Cleevely,Female,5/16/1980,1,0,,0,0,0,Product Management,Indonesia,Oebai,4,Needs Improvement,Outstanding,White
33-8371829,1/26/2021,Rosalind,Garvagh,Female,3/3/1985,1,0,,1,0,0,Engineering,China,Mataigou,8,Needs Improvement,Unacceptable,Chinese
14-0293176,4/11/2021,Ximenes,Palmar,Male,2/6/1975,1,0,,1,0,0,Legal,Jordan,Wādī as Sīr,9,Meets Expectations,Needs Improvement,Pakistani
60-3230292,10/29/2021,Beaufort,Loyns,Agender,10/25/1976,1,0,,0,0,0,Product Management,Malta,L-Iklin,6,Exceeds Expectations,Needs Improvement,White
74-1802137,12/9/2019,Ulla,Antonowicz,Female,6/16/1951,1,0,,0,0,0,Product Management,China,Zhoutian,8,Unacceptable,Outstanding,Indian
56-9646781,4/2/2019,Raimondo,Trevers,Male,1/27/1977,1,0,,1,0,0,Support,Egypt,Ḩalwān,3,Needs Improvement,Unacceptable,Pakistani
42-1225705,8/1/2019,Afton,McAirt,Female,5/12/1962,1,0,,0,0,0,Marketing,Vietnam,Cao Thượng,7,Exceeds Expectations,Unacceptable,Bangladeshi
38-6100760,12/29/2020,Stafford,Gehricke,Genderqueer,6/5/1979,1,0,,1,0,0,Support,Syria,Al Khushnīyah,10,Outstanding,Meets Expectations,Chinese
68-5715963,1/17/2022,Tabbie,Strangwood,Female,11/18/1978,1,1,5/26/2022,1,0,1,Training,Peru,Acobamba,2,Unacceptable,Unacceptable,African
74-3833581,5/1/2020,Lulu,Crumpton,Female,4/14/1999,1,1,5/17/2019,0,1,0,Legal,Albania,Mollas,4,Unacceptable,Needs Improvement,Caribbean
37-3341353,6/28/2021,Tami,Lambrecht,Female,6/10/1957,1,0,,1,0,0,Business Development,Azerbaijan,Kyurdarmir,2,Unacceptable,Needs Improvement,White
30-0795877,3/29/2022,Stern,Erbain,Male,10/31/1952,1,1,12/25/2020,1,0,1,Support,Indonesia,Banjar Dauhpura,3,Outstanding,Outstanding,Arab
40-8988135,4/3/2019,Gilli,McCambrois,Female,5/16/1950,1,0,,1,0,0,Marketing,Japan,Matsutō,3,Unacceptable,Unacceptable,Irish
78-7162203,4/20/2022,Dwain,Cantopher,Male,1/4/1995,1,0,,0,0,0,Product Management,Indonesia,Sudikampir,5,Meets Expectations,Meets Expectations,African
88-2891008,1/12/2022,Crissy,Graben,Female,9/30/1966,1,0,,1,0,0,Training,Ireland,Monaghan,9,Meets Expectations,Meets Expectations,Arab
88-3923800,12/30/2020,Ozzie,Scoyles,Male,9/30/1962,1,0,,1,0,0,Research and Development,Indonesia,Cikaung,9,Outstanding,Unacceptable,Indian
90-3550082,6/5/2021,Valene,Bycraft,Female,5/30/1985,1,0,,0,0,0,Product Management,Pakistan,Faruka,6,Exceeds Expectations,Outstanding,Bangladeshi
72-8633393,12/19/2021,Donielle,Keyser,Female,9/4/1978,1,0,,0,0,0,Accounting,China,Mangdang,4,Meets Expectations,Exceeds Expectations,African
98-3448509,10/21/2021,Gabbie,Florez,Female,11/27/1986,1,0,,1,0,0,Training,Greece,Diavatós,6,Exceeds Expectations,Needs Improvement,White
51-8457257,7/6/2022,Wilie,Attewill,Female,4/11/1992,1,0,,0,0,0,Research and Development,Bangladesh,Nārāyanganj,9,Needs Improvement,Unacceptable,White 
47-8060306,5/29/2022,Wylma,Moyne,Female,4/19/1955,1,0,,1,0,0,Support,Indonesia,Golopau,7,Exceeds Expectations,Exceeds Expectations,White
63-3528689,8/21/2021,Tailor,Fernier,Genderfluid,6/23/2000,1,0,,1,0,0,Services,Turkmenistan,Boldumsaz,9,Outstanding,Exceeds Expectations,Chinese
45-2216484,3/19/2021,Bjorn,McFfaden,Male,1/15/1990,1,0,,1,0,0,Research and Development,Indonesia,Utama Wetan,7,Unacceptable,Exceeds Expectations,Pakistani
47-4147510,4/19/2022,Effie,Mapis,Female,11/24/1959,1,0,,1,0,0,Marketing,China,Zhelin,3,Exceeds Expectations,Needs Improvement,White
08-4478657,3/21/2021,Cariotta,Yandell,Female,8/12/1965,1,0,,1,0,0,Services,France,Besançon,10,Unacceptable,Meets Expectations,Indian
50-7031003,2/16/2020,Matthew,Chant,Male,2/12/1980,1,0,,0,0,0,Sales,Yemen,Khawr Maksar,4,Unacceptable,Needs Improvement,Pakistani
33-3671986,6/18/2019,Corty,Luscott,Male,6/15/1958,1,0,,1,0,0,Business Development,Portugal,Vinha,9,Exceeds Expectations,Needs Improvement,Bangladeshi
38-5162728,8/7/2020,Aubine,Blemings,Female,3/11/1983,1,0,,0,0,0,Business Development,Russia,Vyksa,1,Needs Improvement,Needs Improvement,Chinese
60-0385545,12/20/2021,Zia,Rogister,Female,4/15/1973,1,0,,1,0,0,Sales,Portugal,Barqueiro,5,Needs Improvement,Exceeds Expectations,African
26-6614688,11/1/2019,Nealon,Gye,Male,5/31/1951,1,0,,0,0,0,Research and Development,Russia,Yakovlevskoye,2,Meets Expectations,Meets Expectations,Caribbean
50-5230144,6/12/2021,Lily,Bailie,Female,2/22/1996,1,1,9/24/2021,1,1,0,Legal,Armenia,Mrgavan,6,Meets Expectations,Outstanding,White
41-9250081,9/26/2021,Tiffanie,Breydin,Female,2/12/1963,1,0,,1,0,0,Research and Development,Poland,Plewiska,5,Needs Improvement,Outstanding,Arab
78-5786300,6/4/2021,Ransell,Hise,Male,4/3/1980,1,0,,1,0,0,Marketing,United Kingdom,Denton,1,Needs Improvement,Meets Expectations,Irish
90-2534863,4/6/2021,Barnabas,Handling,Male,9/7/1990,1,0,,1,0,0,Legal,China,Bianzhuang,1,Outstanding,Meets Expectations,African
35-2008905,5/28/2021,Winnie,Clough,Male,4/26/1994,1,0,,1,0,0,Engineering,China,Nanping,10,Meets Expectations,Exceeds Expectations,Arab
97-8672257,7/31/2019,Lita,Crackel,Female,7/17/1998,1,0,,1,0,0,Research and Development,Mexico,Independencia,9,Exceeds Expectations,Outstanding,Indian
10-0755806,2/12/2022,Patty,Jiggen,Male,2/26/1958,1,0,,0,0,0,Business Development,Indonesia,Kalianda,2,Meets Expectations,Unacceptable,Bangladeshi
13-6964545,7/4/2021,Ellie,Webben,Male,11/26/1977,1,0,,1,0,0,Engineering,Portugal,Cortiçóis,6,Meets Expectations,Needs Improvement,African
75-3523691,5/23/2019,Ardella,Killford,Female,5/19/2002,1,0,,0,0,0,Product Management,China,Kugri,1,Unacceptable,Needs Improvement,White
56-2777451,5/14/2020,Nichole,Linguard,Female,2/23/1952,1,1,6/1/2022,0,0,1,Legal,Belgium,Bouillon,5,Meets Expectations,Meets Expectations,White 
16-7187319,11/19/2021,Alexandrina,Tuttle,Female,5/25/1978,1,1,12/31/2019,1,0,1,Marketing,Brazil,Pontal,10,Meets Expectations,Exceeds Expectations,White
01-1573224,7/14/2022,Lanna,Croser,Female,1/27/1995,1,0,,0,0,0,Marketing,Sweden,Västerås,8,Meets Expectations,Outstanding,Chinese
23-5251446,3/16/2020,Chevy,Kuzma,Male,3/19/1971,1,0,,0,0,0,Legal,China,Xihuaiba,7,Needs Improvement,Unacceptable,Pakistani
55-1474079,4/24/2020,Corilla,Tapley,Female,11/15/1960,1,0,,1,0,0,Sales,China,Tongjiang,4,Meets Expectations,Unacceptable,White
99-8163421,6/1/2019,Sandra,Gellately,Female,5/13/1984,1,1,6/15/2021,1,1,0,Marketing,Czech Republic,Třebíč,9,Unacceptable,Meets Expectations,Indian
41-8401146,6/9/2020,Andris,Nevill,Male,2/9/1991,1,1,2/3/2022,0,1,0,Support,United Kingdom,Linton,6,Exceeds Expectations,Exceeds Expectations,Pakistani
79-7029668,3/22/2019,Erminia,Potten,Female,11/19/2000,1,0,,1,0,0,Training,Poland,Kokotów,3,Exceeds Expectations,Meets Expectations,Bangladeshi
94-0604290,3/28/2021,Duff,Yggo,Male,1/12/1994,1,0,,1,0,0,Training,Netherlands,Breda,1,Outstanding,Outstanding,Chinese
77-3734085,3/29/2021,Clayson,Whimper,Male,4/16/1980,1,0,,0,0,0,Product Management,Indonesia,Maredakalada,5,Needs Improvement,Exceeds Expectations,African
09-8466005,6/3/2020,Etti,MacHostie,Genderfluid,4/29/1991,1,1,3/30/2022,0,1,0,Accounting,Indonesia,Onan Ganjang Satu,3,Exceeds Expectations,Unacceptable,Caribbean
